name;price;unit_price;ean;nutriscore;promo;url
Comté extra AOP Affiné 4 mois;3,52 €;14.10 € / KG;3509560908117;;;https://www.carrefour.fr/p/comte-extra-aop-affine-4-mois-3509560908117?t=36999
Mini involtini chèvre VALCREST;4,80 €;48.00 € / KG;3523230047654;D;;https://www.carrefour.fr/p/mini-involtini-chevre-valcrest-3523230047654?t=36999
Panés à la mozzarella panure à la Provençale GRAND FERMAGE;2,49 €;24.90 € / KG;3523230058704;D;;https://www.carrefour.fr/p/panes-a-la-mozzarella-panure-a-la-provencale-grand-fermage-3523230058704?t=36999
Mini Involtini Speck, Chorizo et Fromage de Vache VALCREST;4,50 €;45.00 € / KG;3523230059923;D;;https://www.carrefour.fr/p/mini-involtini-speck-chorizo-et-fromage-de-vache-valcrest-3523230059923?t=36999
Panés à la Raclette GRAND FERMAGE;2,24 €;22.40 € / KG;3523230060127;E;Ouvrir description de la promotion 1 acheté = 10% de remise;https://www.carrefour.fr/p/panes-a-la-raclette-grand-fermage-3523230060127?t=36999
Mozzarella râpé CANTADORA;2,35 €;15.67 € / KG;3523230064736;D;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/mozzarella-rape-cantadora-3523230064736?t=36999
Fromage Gouda vieux au cumin;5,84 €;29.20 € / KG;3523680257467;;;https://www.carrefour.fr/p/fromage-gouda-vieux-au-cumin-3523680257467?t=36999
Fromage Tomme aux fleurs;7,47 €;32.50 € / KG;3523680258952;;;https://www.carrefour.fr/p/fromage-tomme-aux-fleurs-3523680258952?t=36999
Fromage Gouda de Mai IGP;2,58 €;12.90 € / KG;3523680269637;U;;https://www.carrefour.fr/p/fromage-gouda-de-mai-igp-3523680269637?t=36999
Fourme d'ambert AOP;3,71 €;15.50 € / KG;3523680272873;;;https://www.carrefour.fr/p/fourme-d-ambert-aop-3523680272873?t=36999
Fromage Salers AOP FILIERE QUALITE CARREFOUR;5,30 €;26.50 € / KG;3523680335509;;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-salers-aop-filiere-qualite-carrefour-3523680335509?t=36999
Fromage Comté AOP 10 mois d'affinage;5,26 €;22.90 € / KG;3523680347878;;;https://www.carrefour.fr/p/fromage-comte-aop-10-mois-d-affinage-3523680347878?t=36999
Mimolette demi vieille;4,18 €;20.90 € / KG;3523680377417;;;https://www.carrefour.fr/p/mimolette-demi-vieille-3523680377417?t=36999
Fromage Morbier fruitier AOP 150 jours d'affinage;5,87 €;23.50 € / KG;3523680432758;;;https://www.carrefour.fr/p/fromage-morbier-fruitier-aop-150-jours-d-affinage-3523680432758?t=36999
Fromage Gris du Perigord;4,30 €;21.50 € / KG;3523680474055;U;;https://www.carrefour.fr/p/fromage-gris-du-perigord-3523680474055?t=36999
Fromage Morbier AOP 60 jours;4,72 €;18.90 € / KG;3523680495296;;;https://www.carrefour.fr/p/fromage-morbier-aop-60-jours-3523680495296?t=36999
Fromage Tomme des Pyrénées IGP;3,98 €;19.90 € / KG;3523680495715;U;;https://www.carrefour.fr/p/fromage-tomme-des-pyrenees-igp-3523680495715?t=36999
Fromage compté AOP 24 mois d'affinage;5,20 €;28.90 € / KG;3523680499294;;;https://www.carrefour.fr/p/fromage-compte-aop-24-mois-d-affinage-3523680499294?t=36999
Tomme de Mayenne au lait cru de foin;5,30 €;26.50 € / KG;3523680515291;U;;https://www.carrefour.fr/p/tomme-de-mayenne-au-lait-cru-de-foin-3523680515291?t=36999
Tomme à l'ail des ours au lait cru de foin;4,78 €;23.90 € / KG;3523680515307;U;;https://www.carrefour.fr/p/tomme-a-l-ail-des-ours-au-lait-cru-de-foin-3523680515307?t=36999
Saint herbleu;4,72 €;18.90 € / KG;3523680515550;;;https://www.carrefour.fr/p/saint-herbleu-3523680515550?t=36999
Fromage Livarot AOP au Lait Cru de Vache FILIERE QUALITE CARREFOUR;3,95 €;19.75 € / KG;3523680519107;D;;https://www.carrefour.fr/p/fromage-livarot-aop-au-lait-cru-de-vache-filiere-qualite-carrefour-3523680519107?t=36999
Comté Cardamine AOP 18 mois;3,98 €;19.90 € / KG;3523680523340;;;https://www.carrefour.fr/p/comte-cardamine-aop-18-mois-3523680523340?t=36999
Fromage Cœur de Savoie Chabert;5,97 €;23.90 € / KG;3523680525054;;;https://www.carrefour.fr/p/fromage-coeur-de-savoie-chabert-3523680525054?t=36999
Fromage Emmental;2,18 €;10.90 € / KG;3523680528314;;Ouvrir description de la promotion Vu en catalogue;https://www.carrefour.fr/p/fromage-emmental-3523680528314?t=36999
Fromage Beaufort AOP;5,78 €;28.90 € / KG;3529380008552;U;;https://www.carrefour.fr/p/fromage-beaufort-aop-3529380008552?t=36999
Tomme blanche;2,50 €;13.89 € / KG;3529380017622;U;;https://www.carrefour.fr/p/tomme-blanche-3529380017622?t=36999
Fromage au lait de Vache Pasteurisé à pâte pressé non cuite ABBAYE DE MONT DES CATS;12,95 €;25.90 € / KG;3542241000052;;;https://www.carrefour.fr/p/fromage-au-lait-de-vache-pasteurise-a-pate-presse-non-cuite-abbaye-de-mont-des-cats-3542241000052?t=36999
Fromage Comté Bio AOP JURAFLORE;5,25 €;23.90 € / KG;3542860082255;U;;https://www.carrefour.fr/p/fromage-comte-bio-aop-juraflore-3542860082255?t=36999
Comté AOP Affiné de 6 mois JURAFLORE;3,20 €;14.55 € / KG;3542860152217;U;;https://www.carrefour.fr/p/comte-aop-affine-de-6-mois-juraflore-3542860152217?t=36999
Comte AOP Juraflore Flort des Rouses;6,60 €;30.00 € / KG;3542860542247;;;https://www.carrefour.fr/p/comte-aop-juraflore-flort-des-rouses-3542860542247?t=36999
Fromage Morbier AOP JURAFLORE;4,45 €;22.25 € / KG;3542862592110;U;;https://www.carrefour.fr/p/fromage-morbier-aop-juraflore-3542862592110?t=36999
Comté Bio AOP JURAFLORE;5,19 €;25.95 € / KG;3542864052018;U;;https://www.carrefour.fr/p/comte-bio-aop-juraflore-3542864052018?t=36999
Fromage Morbier Bio AOP JURAFLORE;5,03 €;21.90 € / KG;3542865012356;U;;https://www.carrefour.fr/p/fromage-morbier-bio-aop-juraflore-3542865012356?t=36999
Fromage Comte Aop Cave JURAFLORE FORT DES ROUSSES;4,79 €;23.95 € / KG;3542865622012;;;https://www.carrefour.fr/p/fromage-comte-aop-cave-juraflore-fort-des-rousses-3542865622012?t=36999
Fromage Chaource AOP FROMAGERIE DE MUSSY;4,25 €;17.00 € / KG;3554190000014;;;https://www.carrefour.fr/p/fromage-chaource-aop-fromagerie-de-mussy-3554190000014?t=36999
Fromage Délice de Mussy;4,95 €;19.80 € / KG;3554190000038;;;https://www.carrefour.fr/p/fromage-delice-de-mussy-3554190000038?t=36999
