name;price;unit_price;ean;nutriscore;promo;url
Citrons Jaunes Bio;2,69 €;5.38 € / KG;3523680468016;;-10% CLUB;https://www.carrefour.fr/p/citrons-jaunes-bio-3523680468016?t=1882
Citrons SIMPL;1,49 €;2.98 € / KG;3276558403243;;;https://www.carrefour.fr/p/citrons-simpl-3276558403243?t=1882
Citrons verts Bio;2,49 €;2.49 € / U;3276550270089;;;https://www.carrefour.fr/p/citrons-verts-bio-3276550270089?t=1882
Citrons agroécologie FILIERE QUALITE CARREFOUR;2,59 €;2.59 € / KG;3523680420670;;-15% MARDI PASS;https://www.carrefour.fr/p/citrons-agroecologie-filiere-qualite-carrefour-3523680420670?t=1882
Citrons Bio;2,69 €;5.38 € / KG;3270190010272;;;https://www.carrefour.fr/p/citrons-bio-3270190010272?t=1882
Citrons PETIT PRIX;1,49 €;2.98 € / KG;3276550250982;;;https://www.carrefour.fr/p/citrons-petit-prix-3276550250982?t=1882
Citrons vrac Bio;5,29 €;5.29 € / KG;3276552325695;;-10% CLUB;https://www.carrefour.fr/p/citrons-vrac-bio-3276552325695?t=1882
Citrons jaunes;3,69 €;3.69 € / KG;3276554565495;;;https://www.carrefour.fr/p/citrons-jaunes-3276554565495?t=1882
Citrons jaunes PETIT PRIX;3,69 €;3.69 € / KG;3276554565525;;;https://www.carrefour.fr/p/citrons-jaunes-petit-prix-3276554565525?t=1882
Citrons jaunes;1,95 €;3.90 € / KG;3276554784469;;;https://www.carrefour.fr/p/citrons-jaunes-3276554784469?t=1882
Citrons à jus;4,65 €;2.32 € / KG;3523680330221;;;https://www.carrefour.fr/p/citrons-a-jus-3523680330221?t=1882
Citrons jaunes Bio;2,99 €;2.99 € / KG;3523680401273;;;https://www.carrefour.fr/p/citrons-jaunes-bio-3523680401273?t=1882
Citrons Verts SIMPL;0,99 €;0.33 € / U;3523680523173;;;https://www.carrefour.fr/p/citrons-verts-simpl-3523680523173?t=1882
Clémentine Corse FILIERE QUALITE CARREFOUR;3,99 €;3.99 € / KG;3245411336677;;-15% MARDI PASS;https://www.carrefour.fr/p/clementine-corse-filiere-qualite-carrefour-3245411336677?t=1882
Clémentine;4,99 €;3.33 € / KG;3276558403151;;-15% MARDI PASS;https://www.carrefour.fr/p/clementine-3276558403151?t=1882
Clémentine de Corse en conversion Bio;3,69 €;4.92 € / KG;3523680421165;;;https://www.carrefour.fr/p/clementine-de-corse-en-conversion-bio-3523680421165?t=1882
Clémentine agroécologie FILIERE QUALITE CARREFOUR;2,50 €;2.50 € / U;3523680471375;;-15% MARDI PASS;https://www.carrefour.fr/p/clementine-agroecologie-filiere-qualite-carrefour-3523680471375?t=1882
Clémentine feuille;3,59 €;4.79 € / KG;3276558403182;;-15% MARDI PASS;https://www.carrefour.fr/p/clementine-feuille-3276558403182?t=1882
Clémentine feuille bio Corse CARREFOUR BIO;2,91 €;2.91 € / KG;3270190011057;;;https://www.carrefour.fr/p/clementine-feuille-bio-corse-carrefour-bio-3270190011057?t=1882
Clémentines de Corse;3,99 €;3.99 € / KG;3000000032787;;;https://www.carrefour.fr/p/clementines-de-corse-3000000032787?t=1882
