name;price;unit_price;ean;nutriscore;promo;url
Café Moulu Espresso HENRY BLANC;3,85 €;15.40 € / KG;3760080370062;;;https://www.carrefour.fr/p/cafe-moulu-espresso-henry-blanc-3760080370062?t=39473
Café Moulu Pur Arabica Equateur Bio ETHIQUABLE;5,25 €;21.00 € / KG;3760091720016;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-equateur-bio-ethiquable-3760091720016?t=39473
Café Moulu Pur Arabica Honduras Bio ETHIQUABLE;4,79 €;19.16 € / KG;3760091720023;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-honduras-bio-ethiquable-3760091720023?t=39473
Café Moulu Pur Arabica Pérou Bio ETHIQUABLE;4,79 €;19.16 € / KG;3760091720061;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-perou-bio-ethiquable-3760091720061?t=39473
Café Moulu Pur Arabica Colombie Bio ETHIQUABLE;5,39 €;21.56 € / KG;3760091723031;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-colombie-bio-ethiquable-3760091723031?t=39473
Café Moulu Pur Arabica Equateur Bio ETHIQUABLE;10,25 €;20.50 € / KG;3760091725004;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-equateur-bio-ethiquable-3760091725004?t=39473
Café Moulu Pur Arabica Perou Bio ETHIQUABLE;9,35 €;18.70 € / KG;3760091725097;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-perou-bio-ethiquable-3760091725097?t=39473
Café Moulu Pur Arabica Bolivie Bio ETHIQUABLE;5,39 €;21.56 € / KG;3760091725769;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-bolivie-bio-ethiquable-3760091725769?t=39473
Café Moulu Pur Arabica Moka Ethiopie Bio ETHIQUABLE;5,39 €;21.56 € / KG;3760091725776;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-moka-ethiopie-bio-ethiquable-3760091725776?t=39473
Café Moulu Décaféiné Sans Solvant Ethiopie Bio ETHIQUABLE;6,05 €;24.20 € / KG;3760091727008;;;https://www.carrefour.fr/p/cafe-moulu-decafeine-sans-solvant-ethiopie-bio-ethiquable-3760091727008?t=39473
Café Grains 100% Arabica FAUBOURG CAFE;12,15 €;20.25 € / KG;3760160680821;;;https://www.carrefour.fr/p/cafe-grains-100-arabica-faubourg-cafe-3760160680821?t=39473
Café Moulu de Colombie Bio GRAIN DE SAIL;5,79 €;23.16 € / KG;3760226260561;;;https://www.carrefour.fr/p/cafe-moulu-de-colombie-bio-grain-de-sail-3760226260561?t=39473
Café Moulu du Honduras Bio GRAIN DE SAIL;5,65 €;22.60 € / KG;3760226260585;;;https://www.carrefour.fr/p/cafe-moulu-du-honduras-bio-grain-de-sail-3760226260585?t=39473
Café Moulu Artisanal LES CAFES GAILLARD;4,15 €;16.60 € / KG;3760236920004;;;https://www.carrefour.fr/p/cafe-moulu-artisanal-les-cafes-gaillard-3760236920004?t=39473
Café Moulu 100% Arabica Italien LES CAFES GAILLARD;4,15 €;16.60 € / KG;3760236920011;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-italien-les-cafes-gaillard-3760236920011?t=39473
Café Moulu Moka GAILLARD;4,15 €;16.60 € / KG;3760236920028;;;https://www.carrefour.fr/p/cafe-moulu-moka-gaillard-3760236920028?t=39473
Café en capsules mexique compatibles Nespresso MOKA;3,60 €;65.45 € / KG;3760264900009;;;https://www.carrefour.fr/p/cafe-en-capsules-mexique-compatibles-nespresso-moka-3760264900009?t=39473
Café en capsules perou compatibles Nespresso MOKA;3,60 €;65.45 € / KG;3760264900054;;;https://www.carrefour.fr/p/cafe-en-capsules-perou-compatibles-nespresso-moka-3760264900054?t=39473
Café en capsules ethiopie compatibles Nespresso MOKA;3,60 €;65.45 € / KG;3760264900221;;;https://www.carrefour.fr/p/cafe-en-capsules-ethiopie-compatibles-nespresso-moka-3760264900221?t=39473
Capsules de Café Moka Honduras Bio MOKA;3,60 €;65.45 € / KG;3760264900238;;;https://www.carrefour.fr/p/capsules-de-cafe-moka-honduras-bio-moka-3760264900238?t=39473
Café Moulu Ethiopie Intensité 10 CAFE JOYEUX;5,65 €;22.60 € / KG;3760316231761;;;https://www.carrefour.fr/p/cafe-moulu-ethiopie-intensite-10-cafe-joyeux-3760316231761?t=39473
Café Moulu Intensité 8 Pérou CAFE JOYEUX;5,65 €;22.60 € / KG;3760316231778;;;https://www.carrefour.fr/p/cafe-moulu-intensite-8-perou-cafe-joyeux-3760316231778?t=39473
Café en grains 100% arabica Costa Rica Intensité 8/12 pour le handicap JOYEUX SERVI AVEC LE CŒUR;12,90 €;25.80 € / KG;3760316231877;;;https://www.carrefour.fr/p/cafe-en-grains-100-arabica-costa-rica-intensite-8-12-pour-le-handicap-joyeux-servi-avec-le-coeur-3760316231877?t=39473
Capsules de Café Lungo - Intensité 6 JOYEUX SERVI AVEC LE COEUR;4,20 €;80.77 € / KG;3760316231891;;;https://www.carrefour.fr/p/capsules-de-cafe-lungo-intensite-6-joyeux-servi-avec-le-coeur-3760316231891?t=39473
Capsules de Café Ristretto - Intensité 10 JOYEUX SERVI AVEC LE COEUR;4,20 €;80.77 € / KG;3760316231907;;;https://www.carrefour.fr/p/capsules-de-cafe-ristretto-intensite-10-joyeux-servi-avec-le-coeur-3760316231907?t=39473
Café Moulu 100% Arabica Pur Brésil LE CAFE PICARD;3,75 €;15.00 € / KG;3770018092119;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-pur-bresil-le-cafe-picard-3770018092119?t=39473
Café Moulu 100% Arabica Pur Colombie LE CAFE PICARD;4,20 €;16.80 € / KG;3770018092164;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-pur-colombie-le-cafe-picard-3770018092164?t=39473
Café Moulu Intensité 3 100% Arabica MOVENPICK;7,69 €;15.38 € / KG;4006581001777;;;https://www.carrefour.fr/p/cafe-moulu-intensite-3-100-arabica-movenpick-4006581001777?t=39473
Café moulu espresso ALNATURA;4,39 €;17.56 € / KG;4104420038660;;;https://www.carrefour.fr/p/cafe-moulu-espresso-alnatura-4104420038660?t=39473
Café Moulu Espresso ILLY;6,25 €;25.00 € / KG;8003753900438;;;https://www.carrefour.fr/p/cafe-moulu-espresso-illy-8003753900438?t=39473
Café Moulu Espresso ILLY;6,25 €;25.00 € / KG;8003753900469;A;;https://www.carrefour.fr/p/cafe-moulu-espresso-illy-8003753900469?t=39473
